[2025-07-04 10:08:11 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-07-04 16:15:35 : INFO] - Cache for URL: https://nesdia.com/about/ has been purged, triggered by action: save_post 
[2025-07-04 16:15:36 : INFO] - Cache for URL: https://nesdia.com/about/ has been purged, triggered by action: save_post 
[2025-07-04 16:16:32 : INFO] - Cache for URL: https://nesdia.com/about/ has been purged, triggered by action: save_post 
[2025-07-04 16:16:32 : INFO] - Cache for URL: https://nesdia.com/about/ has been purged, triggered by action: save_post 
[2025-07-04 16:22:22 : INFO] - Cache for URL: https://nesdia.com/about/ has been purged, triggered by action: save_post 
[2025-07-04 16:22:22 : INFO] - Cache for URL: https://nesdia.com/about/ has been purged, triggered by action: save_post 
[2025-07-04 16:23:15 : INFO] - Cache for URL: https://nesdia.com/blog/ has been purged, triggered by action: save_post 
[2025-07-04 16:23:15 : INFO] - Cache for URL: https://nesdia.com/blog/ has been purged, triggered by action: save_post 
[2025-07-04 16:23:30 : INFO] - Cache for URL: https://nesdia.com/blog/ has been purged, triggered by action: save_post 
[2025-07-04 16:23:30 : INFO] - Cache for URL: https://nesdia.com/blog/ has been purged, triggered by action: save_post 
[2025-07-04 16:24:03 : INFO] - Cache for URL: https://nesdia.com/?p=509 has been purged, triggered by action: save_post 
[2025-07-04 16:24:03 : INFO] - Cache for previous post (with URL: https://nesdia.com/sample-posts-4/) adjacent to post with id: 509 has been purged, triggered by action: save_post 
[2025-07-04 16:24:03 : INFO] - Cache for next post (with URL: https://nesdia.com/hello-world/) adjacent to post with id: 509 has been purged, triggered by action: save_post 
[2025-07-04 16:24:03 : INFO] - Cache for all archives page associated with post_type: post and Title: "Auto Draft" have been purged, triggered by action: save_post 
[2025-07-04 16:25:12 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-07-04 16:25:13 : INFO] - Cache for URL: https://nesdia.com/languages-are-dying/ has been purged, triggered by action: save_post 
[2025-07-04 16:25:13 : INFO] - Cache for previous post (with URL: https://nesdia.com/sample-posts-4/) adjacent to post with id: 509 has been purged, triggered by action: save_post 
[2025-07-04 16:25:13 : INFO] - Cache for next post (with URL: https://nesdia.com/hello-world/) adjacent to post with id: 509 has been purged, triggered by action: save_post 
